student_id,age,attendance_rate,assignment_score,midterm_score,final_score,study_hours_per_week,previous_gpa,target_performance
S001,18,60.6,72.4,61.6,49.8,6.4,2.4,0
S002,24,60.1,78.3,67.4,88.9,10.8,2.71,0
S003,21,69.1,93.0,84.2,70.6,10.7,2.42,0
S004,18,72.3,84.1,83.1,78.1,9.6,3.14,0
S005,22,55.6,71.1,63.9,67.6,10.7,1.59,0
S006,21,70.9,88.0,87.5,76.8,8.3,3.31,0
S007,20,75.5,79.4,73.1,75.6,6.6,2.55,0
S008,19,58.1,66.4,48.5,59.2,1.0,1.69,0
S009,19,68.4,62.7,58.5,53.5,3.6,2.11,0
S010,21,93.3,94.5,74.4,78.7,19.2,2.67,0
S011,21,100.0,78.5,80.6,67.9,14.6,2.44,0
S012,21,63.5,94.7,75.1,84.7,8.3,2.81,0
S013,22,95.7,83.8,60.5,64.7,12.2,2.59,0
S014,20,90.5,100.0,87.0,71.4,18.1,3.37,1
S015,23,77.2,85.5,87.1,100.0,8.2,3.18,0
S016,19,56.5,64.9,55.7,57.0,7.2,1.65,0
S017,25,70.1,100.0,91.3,62.7,10.6,2.81,1
S018,25,58.1,81.3,72.9,82.5,9.6,2.79,0
S019,25,100.0,100.0,100.0,100.0,24.0,4.0,1
S020,23,67.8,79.4,73.8,70.8,10.1,2.94,0
