student_id,age,attendance_rate,assignment_score,midterm_score,final_score,study_hours_per_week,previous_gpa,target_performance
S001,20,92,88,84,90,15,3.6,1
S002,22,75,65,70,68,8,2.4,0
S003,19,96,91,89,94,18,3.9,1
S004,21,60,58,62,55,5,2.0,0
S005,20,85,78,80,82,12,3.1,1
S006,23,70,66,64,69,7,2.3,0
S007,19,98,95,93,97,20,4.0,1
S008,22,55,50,52,48,4,1.8,0
S009,21,88,82,85,87,14,3.4,1
S010,20,65,60,63,61,6,2.2,0
S011,19,93,89,90,92,16,3.7,1
S012,24,72,68,70,66,9,2.5,0
S013,20,90,85,88,91,15,3.5,1
S014,22,58,55,57,53,5,1.9,0
S015,21,87,80,83,85,13,3.2,1
S016,23,62,59,60,58,6,2.1,0
S017,20,95,92,94,96,17,3.9,1
S018,19,68,65,67,64,7,2.3,0
S019,22,89,84,86,88,14,3.4,1
S020,21,57,52,55,50,4,1.7,0
